product_name,product_price,product_url
"syoss 絲蘊 極潤修護洗髮露 山茶花油, 420ml, 2瓶",$259,https://www.tw.coupang.com/products/syoss-%E7%B5%B2%E8%98%8A-%E6%A5%B5%E6%BD%A4%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E9%9C%B2-%E5%B1%B1%E8%8C%B6%E8%8A%B1%E6%B2%B9-257654056271884?itemId=260634474135606&vendorItemId=260635472412703&sourceType=search&rank=12&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"tsaio 上山採藥 東方美人順髮洗髮露, 600ml, 2瓶",$236,https://www.tw.coupang.com/products/tsaio-%E4%B8%8A%E5%B1%B1%E6%8E%A1%E8%97%A5-%E6%9D%B1%E6%96%B9%E7%BE%8E%E4%BA%BA%E9%A0%86%E9%AB%AE%E6%B4%97%E9%AB%AE%E9%9C%B2-227551989432320?itemId=227550441717812&vendorItemId=227551985238040&sourceType=search&rank=13&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"CHAR CHAR 摩洛哥堅果油洗髮精, 1.5L, 2個",$252,https://www.tw.coupang.com/products/CHAR-CHAR-%E6%91%A9%E6%B4%9B%E5%93%A5%E5%A0%85%E6%9E%9C%E6%B2%B9%E6%B4%97%E9%AB%AE%E7%B2%BE-21000002107168?itemId=21000002079393&vendorItemId=21003008311783&sourceType=search&rank=14&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"OUR FAMILY 一家人 益生菌養髮旅行3入組, 2組",$105,https://www.tw.coupang.com/products/OUR-FAMILY-%E4%B8%80%E5%AE%B6%E4%BA%BA-%E7%9B%8A%E7%94%9F%E8%8F%8C%E9%A4%8A%E9%AB%AE%E6%97%85%E8%A1%8C3%E5%85%A5%E7%B5%84-286014341857283?itemId=286015403048964&vendorItemId=286016371916801&sourceType=search&rank=15&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"PANTENE 潘婷 水潤滋養洗髮乳, 700g, 2瓶",$217,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%B0%B4%E6%BD%A4%E6%BB%8B%E9%A4%8A%E6%B4%97%E9%AB%AE%E4%B9%B3-255109913100305?itemId=255847280132108&vendorItemId=255846307020820&sourceType=search&rank=16&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"NARD 摩洛哥堅果油損傷修護洗髮精, 1500ml, 2瓶",$481,https://www.tw.coupang.com/products/NARD-%E6%91%A9%E6%B4%9B%E5%93%A5%E5%A0%85%E6%9E%9C%E6%B2%B9%E6%90%8D%E5%82%B7%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E7%B2%BE-21006468691629?itemId=21014110026100&vendorItemId=21081357050175&sourceType=search&rank=17&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"566 抗屑柔順洗髮乳 補充包, 510g, 3包",$157,https://www.tw.coupang.com/products/566-%E6%8A%97%E5%B1%91%E6%9F%94%E9%A0%86%E6%B4%97%E9%AB%AE%E4%B9%B3-%E8%A3%9C%E5%85%85%E5%8C%85-225110644473860?itemId=276188148744211&vendorItemId=276189201547271&sourceType=search&rank=18&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"NATURIA 高蛋白營養洗髮精, 500ml, 1瓶",$860,https://www.tw.coupang.com/products/NATURIA-%E9%AB%98%E8%9B%8B%E7%99%BD%E7%87%9F%E9%A4%8A%E6%B4%97%E9%AB%AE%E7%B2%BE-21008208098023?itemId=21020460267555&vendorItemId=21083078093540&sourceType=search&rank=19&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"KERASYS 植物油系列潤髮乳 摩洛哥堅果油, 1L, 1瓶",$164,https://www.tw.coupang.com/products/KERASYS-%E6%A4%8D%E7%89%A9%E6%B2%B9%E7%B3%BB%E5%88%97%E6%BD%A4%E9%AB%AE%E4%B9%B3-%E6%91%A9%E6%B4%9B%E5%93%A5%E5%A0%85%E6%9E%9C%E6%B2%B9-232329230385162?itemId=232328479621122&vendorItemId=232329230385157&sourceType=search&rank=20&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"魅尚萱 完美修護經典護髮精油, 80ml, 1瓶",$204,https://www.tw.coupang.com/products/%E9%AD%85%E5%B0%9A%E8%90%B1-%E5%AE%8C%E7%BE%8E%E4%BF%AE%E8%AD%B7%E7%B6%93%E5%85%B8%E8%AD%B7%E9%AB%AE%E7%B2%BE%E6%B2%B9-21007650005374?itemId=21020352225420&vendorItemId=21082798549277&sourceType=search&rank=21&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"PeRT 飛柔 淨油柔順鼠尾草香氛洗髮露, 530g, 1瓶",$121,https://www.tw.coupang.com/products/PeRT-%E9%A3%9B%E6%9F%94-%E6%B7%A8%E6%B2%B9%E6%9F%94%E9%A0%86%E9%BC%A0%E5%B0%BE%E8%8D%89%E9%A6%99%E6%B0%9B%E6%B4%97%E9%AB%AE%E9%9C%B2-273943806050305?itemId=273941805350913&vendorItemId=273941805350912&sourceType=search&rank=22&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"566 無矽靈咖啡因控油洗髮露, 800g, 3瓶",$206,https://www.tw.coupang.com/products/566-%E7%84%A1%E7%9F%BD%E9%9D%88%E5%92%96%E5%95%A1%E5%9B%A0%E6%8E%A7%E6%B2%B9%E6%B4%97%E9%AB%AE%E9%9C%B2-258356711211016?itemId=259152920166416&vendorItemId=259153805148164&sourceType=search&rank=23&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"566 護色增亮洗髮乳 補充包, 510g, 2包",$105,https://www.tw.coupang.com/products/566-%E8%AD%B7%E8%89%B2%E5%A2%9E%E4%BA%AE%E6%B4%97%E9%AB%AE%E4%B9%B3-%E8%A3%9C%E5%85%85%E5%8C%85-223332590927891?itemId=277696324009986&vendorItemId=277694306533376&sourceType=search&rank=24&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"Alpecin 雙效咖啡因洗髮水, 200ml, 4個",$758,https://www.tw.coupang.com/products/Alpecin-%E9%9B%99%E6%95%88%E5%92%96%E5%95%A1%E5%9B%A0%E6%B4%97%E9%AB%AE%E6%B0%B4-21000039199069?itemId=21019037682620&vendorItemId=21086161544831&sourceType=search&rank=25&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
"Johnson's 嬌生 嬰兒活力亮澤洗髮露, 500ml, 3瓶",$333,https://www.tw.coupang.com/products/Johnson's-%E5%AC%8C%E7%94%9F-%E5%AC%B0%E5%85%92%E6%B4%BB%E5%8A%9B%E4%BA%AE%E6%BE%A4%E6%B4%97%E9%AB%AE%E9%9C%B2-257350661259268?itemId=259084854984707&vendorItemId=259082975920182&sourceType=search&rank=26&searchId=fe0d898f91344217bfea88d6b69cc11d&q=%E6%B4%97%E9%AB%AE%E6%B2%B9
